timestamp,failed_logins,bytes_sent,bytes_received,port
2026-08-27 09:10:00,0,50000,200000,443
2026-08-27 10:20:00,1,70000,250000,443
2026-08-27 11:15:00,0,45000,180000,80
2026-08-27 12:30:00,2,60000,220000,443
2026-08-27 13:45:00,0,55000,210000,80
2026-08-27 14:10:00,1,80000,300000,443
2026-08-27 15:20:00,0,50000,200000,443
2026-08-27 16:30:00,1,75000,250000,80
2026-08-27 17:40:00,0,65000,230000,443
2026-08-27 18:10:00,1,90000,300000,443
2026-08-27 02:15:00,15,5000000,500000,22
2026-08-27 03:20:00,20,8000000,400000,3389
